workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
2,2pl,1,0.700000,0.002551,200,0,78413.445083,0.000000,new_order,105,0,0.000000,13.822638,13.625000,14.266600,17.428000
2,2pl,1,0.700000,0.002551,200,0,78413.445083,0.000000,payment,95,0,0.000000,10.550895,10.042000,11.733600,14.260040
2,2pl,1,0.900000,0.002534,200,0,78917.535516,0.000000,new_order,101,0,0.000000,13.888267,13.417000,15.542000,17.500000
2,2pl,1,0.900000,0.002534,200,0,78917.535516,0.000000,payment,99,0,0.000000,10.513111,10.125000,11.708000,13.616840
2,2pl,2,0.100000,0.005271,400,0,75883.329381,0.000000,new_order,199,0,0.000000,25.939935,19.583000,32.633600,189.604500
2,2pl,2,0.100000,0.005271,400,0,75883.329381,0.000000,payment,201,0,0.000000,22.374383,12.958000,29.500000,202.500000
2,2pl,2,0.300000,0.005712,400,0,70033.111655,0.000000,new_order,214,0,0.000000,17.523603,13.646000,22.433800,149.163630
2,2pl,2,0.300000,0.005712,400,0,70033.111655,0.000000,payment,186,0,0.000000,25.370312,10.291500,17.646000,40.312450
2,2pl,2,0.500000,0.007775,400,0,51448.870948,0.000000,new_order,209,0,0.000000,22.591493,13.625000,25.149600,48.861640
2,2pl,2,0.500000,0.007775,400,0,51448.870948,0.000000,payment,191,0,0.000000,39.549251,10.333000,20.041000,160.746100
2,2pl,2,0.700000,0.007621,400,0,52487.411222,0.000000,payment,218,0,0.000000,17.295500,10.041500,13.667000,141.521750
2,2pl,2,0.700000,0.007621,400,0,52487.411222,0.000000,new_order,182,0,0.000000,43.380478,13.416500,23.266900,196.924770
2,2pl,2,0.900000,0.005901,400,0,67783.202882,0.000000,payment,196,0,0.000000,14.807408,10.083000,18.749500,26.726750
2,2pl,2,0.900000,0.005901,400,0,67783.202882,0.000000,new_order,204,0,0.000000,33.878696,13.625000,26.446100,32.292000
2,2pl,4,0.100000,0.008578,800,0,93258.658017,0.000000,payment,392,0,0.000000,42.163872,21.292000,45.704800,451.834250
2,2pl,4,0.100000,0.008578,800,0,93258.658017,0.000000,new_order,408,0,0.000000,35.624706,26.542000,44.153500,205.683930
2,2pl,4,0.300000,0.012576,800,0,63612.174384,0.000000,new_order,420,0,0.000000,53.585631,15.333000,34.958700,969.308210
